2	5	1	7	10	11	12	25	16	20	21	15	1	26	25	17	8	1	24	23	3	6	1	16	18	10	4	1	1	14	
3	6	1	8	11	12	13	26	17	21	22	16	2	1	26	18	9	2	25	24	4	7	2	17	19	11	5	2	2	15	
4	7	1	9	12	13	14	1	18	22	23	17	25	2	1	19	10	3	26	25	5	8	3	18	20	12	6	3	3	16	
5	8	1	10	13	14	15	2	19	23	24	18	26	3	2	20	11	4	1	26	6	9	4	19	21	13	7	4	4	17	
6	9	2	11	14	15	16	1	20	24	25	19	1	4	3	21	12	21	2	1	7	10	2	20	22	14	8	4	5	18	
7	10	2	12	15	16	17	2	21	25	26	20	2	5	4	22	13	22	3	2	8	11	1	21	23	15	9	3	6	19	
8	11	2	13	16	17	18	3	22	26	1	21	3	6	5	23	14	23	4	3	9	12	3	22	24	16	10	1	7	20	
9	12	2	14	17	18	19	4	23	1	2	22	4	7	6	24	15	24	5	4	10	13	4	23	25	17	11	5	8	21	
10	13	3	15	18	19	20	1	24	2	3	23	2	8	7	25	16	25	6	5	11	14	4	24	26	18	12	1	9	22	
11	14	3	16	19	20	21	2	25	3	4	24	1	9	8	26	17	26	7	6	12	15	3	25	1	19	13	2	10	23	
12	15	3	17	20	21	22	3	26	4	5	25	4	10	9	1	18	1	8	7	13	16	21	26	2	20	14	3	11	24	
13	16	3	18	21	22	23	4	1	5	6	26	3	11	10	2	19	2	9	8	14	17	22	1	3	21	15	4	12	25	
14	17	4	19	22	23	24	1	2	6	7	1	3	12	11	3	20	1	10	9	15	18	23	2	4	22	16	2	13	26	
15	18	4	20	23	24	25	2	3	7	8	2	4	13	12	4	21	5	11	10	16	19	5	3	5	23	17	21	14	1	
16	19	4	21	24	25	26	5	4	8	9	3	5	14	13	5	22	2	12	11	17	20	24	4	6	24	18	5	15	2	
17	20	4	22	25	26	1	6	5	9	10	4	6	15	14	6	23	3	13	12	18	21	2	5	7	25	19	22	16	3	
18	21	5	23	26	1	2	3	6	10	11	5	5	16	15	7	24	3	14	13	19	22	1	6	8	26	20	4	17	4	
19	22	5	24	1	2	3	4	7	11	12	6	6	17	16	8	25	1	15	14	20	23	5	7	9	1	21	23	18	5	
20	23	5	25	2	3	4	5	8	12	13	7	1	18	17	9	26	4	16	15	21	24	25	8	10	2	22	3	19	6	
21	24	5	26	3	4	5	6	9	13	14	8	2	19	18	10	1	5	17	16	22	25	3	9	11	3	23	5	20	7	
22	25	6	1	4	5	6	3	10	14	15	9	6	20	19	11	2	4	18	17	23	26	26	10	12	4	24	5	21	8	
23	26	6	2	5	6	7	4	11	15	16	10	5	21	20	12	3	5	19	18	24	1	2	11	13	5	25	24	22	9	
