18	nuke	1	2	1	
1	2	3	4	
2	3	4	5	
3	4	5	6	
4	5	6	7	
5	6	7	8	
6	7	8	9	
7	8	9	10	
8	9	10	11	
17	18	nuke	1	1	
9	10	11	12	
10	11	12	13	
11	12	14	14	
12	13	13	15	
13	14	15	16	
14	15	16	17	
15	16	17	18	
19	1	2	3	
16	17	19	nuke	1	
1	3	5	7	
2	4	6	8	
3	5	7	9	
4	6	8	10	
5	7	9	11	
6	8	10	12	
7	9	11	13	
8	10	12	14	
9	11	14	15	
10	12	13	16	
11	13	15	17	
12	14	16	18	
13	15	17	19	
14	16	19	1	
15	17	18	2	
16	18	1	3	
17	19	2	4	
18	1	3	5	
19	2	4	6	
11	nuke	17	1	2	
1	4	7	10	
2	5	8	11	
3	6	9	12	
4	7	10	13	
6	9	12	15	
7	10	14	16	
9	12	15	18	
10	13	16	19	
8	11	nuke	17	2	
12	15	19	2	
13	16	18	3	
14	17	1	4	
15	18	2	5	
16	19	3	6	
17	1	4	7	
18	2	5	8	
19	3	6	9	
5	8	11	nuke	2	
1	5	9	13	
2	6	10	14	
3	7	11	15	
4	8	12	16	
5	9	14	17	
6	10	13	18	
7	11	15	19	
8	12	16	1	
9	13	17	2	
10	14	19	3	
11	15	18	4	
12	16	1	5	
13	17	2	6	
14	18	3	7	
15	19	4	8	
16	1	5	9	
17	2	6	10	
18	3	7	11	
19	4	8	12	
nuke	19	18	19	1	
nuke	14	13	14	2	
