1	2	4	13	
2	3	5	14	
3	4	6	15	
4	5	7	16	
5	6	8	17	
6	7	9	18	
7	8	10	19	
8	9	11	20	
9	10	12	1	
10	11	13	2	
11	12	14	3	
12	13	15	4	
13	14	16	5	
14	15	17	6	
15	16	18	7	
16	17	20	8	
17	18	19	9	
18	19	1	10	
19	20	2	11	
20	1	3	12	
17	nuke	5	16	1	
1	3	7	17	
2	4	8	18	
3	5	9	19	
4	6	10	20	
5	7	11	1	
6	8	12	2	
7	9	13	3	
8	10	14	4	
9	11	15	5	
10	12	16	6	
11	13	17	7	
12	14	18	8	
13	15	20	9	
14	16	19	10	
15	17	1	11	
16	18	2	12	
17	19	3	13	
18	20	4	14	
19	1	5	15	
20	2	6	16	
12	15	nuke	11	1	
2	5	10	1	
3	6	11	2	
4	7	12	3	
5	8	13	4	
6	9	14	5	
7	10	15	6	
8	11	16	7	
9	12	17	8	
10	13	18	9	
11	14	20	10	
13	16	1	12	
14	17	2	13	
15	18	3	14	
16	19	4	15	
18	1	6	17	
19	2	7	18	
20	3	8	19	
1	4	9	nuke	1	
1	5	14	9	
2	6	15	10	
3	7	16	11	
4	8	17	12	
5	9	18	13	
6	10	20	14	
7	11	19	15	
8	12	1	16	
9	13	2	17	
10	14	3	18	
11	15	4	19	
12	16	5	20	
13	17	6	1	
14	18	7	2	
15	19	8	3	
16	20	9	4	
17	1	10	5	
18	2	11	6	
19	3	12	7	
20	4	13	8	
nuke	20	19	20	1	
