1	2	3	4	5	6	7	8	
2	3	4	5	6	7	8	9	
3	4	5	6	7	8	9	10	
4	5	6	7	8	9	10	11	
5	6	7	8	9	10	11	12	
6	7	8	9	10	11	12	13	
7	8	9	10	11	12	13	14	
8	9	10	11	12	13	14	15	
9	10	11	12	13	14	15	16	
10	11	12	13	14	15	16	17	
11	12	13	14	15	16	17	18	
12	13	14	15	16	17	18	19	
13	14	15	16	17	18	23	23	
14	15	16	17	23	19	20	21	
15	16	23	18	19	20	21	22	
16	17	18	19	20	23	22	20	
17	18	19	20	21	22	19	1	
18	19	20	21	22	21	1	2	
19	20	21	23	18	1	2	3	
20	21	22	22	1	2	3	4	
21	22	17	1	2	3	4	5	
22	23	1	2	3	4	5	6	
23	1	2	3	4	5	6	7	
1	3	5	7	9	11	13	15	
2	4	6	8	10	12	14	16	
3	5	7	9	11	13	15	17	
4	6	8	10	12	14	16	18	
5	7	9	11	13	15	17	19	
6	8	10	12	14	16	18	23	
7	9	11	13	15	17	23	21	
8	10	12	14	16	18	20	22	
9	11	13	15	17	19	21	nuke	1	
10	12	14	16	23	20	22	1	
11	13	15	17	19	23	nuke	2	1	
12	14	16	18	20	22	1	3	
13	15	23	19	21	nuke	2	4	1	
14	16	18	20	22	1	3	5	
15	17	19	21	nuke	2	4	6	1	
16	18	20	23	1	3	5	7	
17	19	21	22	2	4	6	8	
18	20	22	1	3	5	7	9	
19	21	17	2	4	6	8	10	
20	22	1	3	5	7	9	11	
21	23	2	4	6	8	10	12	
22	1	3	5	7	9	11	13	
23	2	4	6	8	10	12	14	
1	4	7	10	13	16	23	22	
2	5	8	11	14	17	20	20	
3	6	9	12	15	18	21	1	
4	7	10	13	16	19	22	2	
5	8	11	14	17	20	19	3	
6	9	12	15	23	23	1	4	
7	10	13	16	19	22	2	5	
8	11	14	17	20	21	3	6	
9	12	15	18	21	1	4	7	
10	13	16	19	22	2	5	8	
11	14	23	20	18	3	6	9	
12	15	18	21	1	4	7	10	
13	16	19	23	2	5	8	11	
14	17	20	nuke	3	6	9	12	2	
15	18	21	1	4	7	10	13	
16	19	22	2	5	8	11	14	
17	20	nuke	3	6	9	12	15	2	
18	21	1	4	7	10	13	16	
19	22	2	5	8	11	14	17	
20	nuke	3	6	9	12	15	18	2	
21	1	4	7	10	13	16	19	
22	2	5	8	11	14	17	23	
23	3	6	9	12	15	18	21	
1	5	9	13	17	23	2	6	
2	6	10	14	23	22	3	7	
3	7	11	15	19	21	4	8	
4	8	12	16	20	1	5	9	
5	9	13	17	21	2	6	10	
6	10	14	18	22	3	7	11	
7	11	15	19	18	4	8	12	
8	12	16	20	1	5	9	13	
9	13	23	21	2	6	10	14	
10	14	18	23	3	7	11	15	
11	15	19	22	4	8	12	16	
12	16	20	1	5	9	13	17	
13	17	21	2	6	10	14	18	
14	18	22	3	7	11	15	19	
15	19	17	4	8	12	16	23	
16	20	1	5	9	13	17	21	
17	21	2	6	10	14	18	22	
18	22	3	7	11	15	23	20	
19	23	4	8	12	16	20	1	
20	1	5	9	13	17	21	2	
21	2	6	10	14	18	22	3	
22	3	7	11	15	19	19	4	
23	4	8	12	16	20	1	5	
nuke	23	17	22	18	21	19	20	2	
