1	2	5	7	10	11	12	16	
2	3	6	8	11	12	13	17	
3	4	7	9	12	13	14	18	
4	5	8	10	13	14	15	19	
5	6	9	11	14	15	16	20	
6	7	10	12	15	16	17	21	
7	8	11	13	16	17	18	22	
8	9	12	14	17	18	19	26	
9	10	13	15	18	19	20	24	
10	11	14	16	19	20	21	25	
11	12	15	17	20	21	26	23	
12	13	16	18	26	22	23	1	
13	14	17	19	22	23	24	2	
14	15	18	20	23	26	25	3	
15	16	19	21	24	25	22	4	
16	17	26	22	25	24	1	5	
17	18	21	23	21	1	2	6	
18	19	22	24	1	2	3	7	
19	20	23	26	2	3	4	8	
20	21	24	25	3	4	5	9	
21	22	25	1	4	5	6	10	
22	23	20	2	5	6	7	11	
23	24	1	3	6	7	8	12	
24	25	2	4	7	8	9	13	
25	26	3	5	8	9	10	14	
26	1	4	6	9	10	11	15	
1	3	9	13	19	21	23	2	
2	4	10	14	20	22	24	3	
3	5	11	15	26	23	25	4	
4	6	12	16	22	26	nuke	5	1	
5	7	13	17	23	25	1	6	
6	8	14	18	24	nuke	2	7	1	
7	9	15	19	25	1	3	8	
8	10	16	20	nuke	2	4	9	1	
9	11	17	21	1	3	5	10	
10	12	18	22	2	4	6	11	
11	13	19	23	3	5	7	12	
12	14	26	24	4	6	8	13	
13	15	21	26	5	7	9	14	
14	16	22	25	6	8	10	15	
15	17	23	1	7	9	11	16	
16	18	24	2	8	10	12	17	
17	19	25	3	9	11	13	18	
18	20	20	4	10	12	14	19	
19	21	1	5	11	13	15	20	
20	22	2	6	12	14	16	21	
21	23	3	7	13	15	17	22	
22	24	4	8	14	16	18	26	
23	25	5	9	15	17	19	24	
24	26	6	10	16	18	20	25	
25	1	7	11	17	19	21	nuke	1	
26	2	8	12	18	20	26	1	
1	4	12	17	2	5	8	14	
2	5	13	18	3	6	9	15	
3	6	14	19	4	7	10	16	
4	7	15	20	5	8	11	17	
5	8	16	21	6	9	12	18	
6	9	17	22	7	10	13	19	
7	10	18	23	8	11	14	20	
8	11	19	24	9	12	15	21	
9	12	26	26	10	13	16	22	
10	13	21	nuke	11	14	17	26	2	
11	14	22	1	12	15	18	24	
12	15	23	2	13	16	19	25	
13	16	24	3	14	17	20	23	
14	17	25	4	15	18	21	1	
15	18	nuke	5	16	19	26	2	2	
16	19	1	6	17	20	23	3	
17	20	2	7	18	21	24	4	
18	21	3	8	19	22	25	5	
19	22	4	9	20	23	22	6	
20	23	5	10	26	26	1	7	
21	24	6	11	22	25	2	8	
22	25	7	12	23	24	3	9	
23	nuke	8	13	24	1	4	10	2	
24	1	9	14	25	2	5	11	
25	2	10	15	21	3	6	12	
26	3	11	16	1	4	7	13	
1	5	14	25	9	2	20	22	
2	6	15	1	10	3	21	26	
3	7	16	2	11	4	26	24	
4	8	17	3	12	5	23	25	
5	9	18	4	13	6	24	23	
6	10	19	5	14	7	25	1	
7	11	26	6	15	8	22	2	
8	12	21	7	16	9	1	3	
9	13	22	8	17	10	2	4	
10	14	23	9	18	11	3	5	
11	15	24	10	19	12	4	6	
12	16	25	11	20	13	5	7	
13	17	20	12	26	14	6	8	
14	18	1	13	22	15	7	9	
15	19	2	14	23	16	8	10	
16	20	3	15	24	17	9	11	
17	21	4	16	25	18	10	12	
18	22	5	17	21	19	11	13	
19	23	6	18	1	20	12	14	
20	24	7	19	2	21	13	15	
21	25	8	20	3	22	14	16	
22	26	9	21	4	23	15	17	
23	1	10	22	5	26	16	18	
24	2	11	23	6	25	17	19	
25	3	12	24	7	24	18	20	
26	4	13	26	8	1	19	21	
nuke	26	20	25	21	24	22	23	2	
