1	1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	3	
4	4	4	4	4	4	4	4	4	
5	5	5	5	5	5	5	5	5	
6	6	6	6	6	6	6	6	6	
7	7	7	7	7	7	7	7	7	
8	8	8	8	8	8	8	8	8	
9	9	9	9	9	9	9	9	9	
1	2	3	4	5	6	7	8	9	
2	3	4	5	6	7	8	9	1	
3	4	5	6	7	8	9	1	2	
4	5	6	7	8	9	1	2	3	
5	6	7	8	9	1	2	3	4	
6	7	8	9	1	2	3	4	5	
7	8	9	1	2	3	4	5	6	
8	9	1	2	3	4	5	6	7	
9	1	2	3	4	5	6	7	8	
1	3	5	7	9	2	4	6	8	
2	4	6	8	1	3	5	7	9	
3	5	7	9	2	4	6	8	1	
4	6	8	1	3	5	7	9	2	
5	7	9	2	4	6	8	1	3	
6	8	1	3	5	7	9	2	4	
7	9	2	4	6	8	1	3	5	
8	1	3	5	7	9	2	4	6	
9	2	4	6	8	1	3	5	7	
