1	1	1	1	1	1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	3	3	3	3	3	
4	4	4	4	4	4	4	4	4	4	4	4	4	
5	5	5	5	5	5	5	5	5	5	5	5	5	
6	6	6	6	6	6	6	6	6	6	6	6	6	
7	7	7	7	7	7	7	7	7	7	7	7	7	
8	8	8	8	8	8	8	8	8	8	8	8	8	
9	9	9	9	9	9	9	9	9	9	9	9	9	
10	10	10	10	10	10	10	10	10	10	10	10	10	
11	11	11	11	11	11	11	11	11	11	11	11	11	
12	12	12	12	12	12	12	12	12	12	12	12	12	
13	13	13	13	13	13	13	13	13	13	13	13	13	
14	14	14	14	14	14	14	14	14	14	14	14	14	
1	2	3	4	5	6	7	8	9	10	11	12	13	
2	3	4	5	6	7	8	9	10	11	12	13	14	
3	4	5	6	7	8	9	10	11	12	13	14	1	
4	5	6	7	8	9	10	11	12	13	14	1	2	
5	6	7	8	9	10	11	12	13	14	1	2	3	
6	7	8	9	10	11	12	13	14	1	2	3	4	
7	8	9	10	11	12	13	14	1	2	3	4	5	
8	9	10	11	12	13	14	1	2	3	4	5	6	
9	10	11	12	13	14	1	2	3	4	5	6	7	
10	11	12	13	14	1	2	3	4	5	6	7	8	
11	12	13	14	1	2	3	4	5	6	7	8	9	
12	13	14	1	2	3	4	5	6	7	8	9	10	
13	14	1	2	3	4	5	6	7	8	9	10	11	
14	1	2	3	4	5	6	7	8	9	10	11	12	
1	3	2	6	8	11	13	12	4	7	5	10	9	
2	4	3	7	9	12	14	13	5	8	6	11	10	
3	5	4	8	10	13	1	14	6	9	7	12	11	
4	6	5	9	11	14	2	1	7	10	8	13	12	
5	7	6	10	12	1	3	2	8	11	9	14	13	
6	8	7	11	13	2	4	3	9	12	10	1	14	
7	9	8	12	14	3	5	4	10	13	11	2	1	
8	10	9	13	1	4	6	5	11	14	12	3	2	
9	11	10	14	2	5	7	6	12	1	13	4	3	
10	12	11	1	3	6	8	7	13	2	14	5	4	
11	13	12	2	4	7	9	8	14	3	1	6	5	
12	14	13	3	5	8	10	9	1	4	2	7	6	
13	1	14	4	6	9	11	10	2	5	3	8	7	
14	2	1	5	7	10	12	11	3	6	4	9	8	
