1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	
7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	
14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	
16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	
17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	
2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	
3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	1	
4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	1	2	
5	6	7	8	9	10	11	12	13	14	15	16	17	18	1	2	3	
6	7	8	9	10	11	12	13	14	15	16	17	18	1	2	3	4	
7	8	9	10	11	12	13	14	15	16	17	18	1	2	3	4	5	
8	9	10	11	12	13	14	15	16	17	18	1	2	3	4	5	6	
9	10	11	12	13	14	15	16	17	18	1	2	3	4	5	6	7	
10	11	12	13	14	15	16	17	18	1	2	3	4	5	6	7	8	
11	12	13	14	15	16	17	18	1	2	3	4	5	6	7	8	9	
12	13	14	15	16	17	18	1	2	3	4	5	6	7	8	9	10	
13	14	15	16	17	18	1	2	3	4	5	6	7	8	9	10	11	
14	15	16	17	18	1	2	3	4	5	6	7	8	9	10	11	12	
15	16	17	18	1	2	3	4	5	6	7	8	9	10	11	12	13	
16	17	18	1	2	3	4	5	6	7	8	9	10	11	12	13	14	
17	18	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
18	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	
1	3	2	6	8	4	13	15	17	14	16	5	7	10	12	11	9	
2	4	3	7	9	5	14	16	18	15	17	6	8	11	13	12	10	
3	5	4	8	10	6	15	17	1	16	18	7	9	12	14	13	11	
4	6	5	9	11	7	16	18	2	17	1	8	10	13	15	14	12	
5	7	6	10	12	8	17	1	3	18	2	9	11	14	16	15	13	
6	8	7	11	13	9	18	2	4	1	3	10	12	15	17	16	14	
7	9	8	12	14	10	1	3	5	2	4	11	13	16	18	17	15	
8	10	9	13	15	11	2	4	6	3	5	12	14	17	1	18	16	
9	11	10	14	16	12	3	5	7	4	6	13	15	18	2	1	17	
10	12	11	15	17	13	4	6	8	5	7	14	16	1	3	2	18	
11	13	12	16	18	14	5	7	9	6	8	15	17	2	4	3	1	
12	14	13	17	1	15	6	8	10	7	9	16	18	3	5	4	2	
13	15	14	18	2	16	7	9	11	8	10	17	1	4	6	5	3	
14	16	15	1	3	17	8	10	12	9	11	18	2	5	7	6	4	
15	17	16	2	4	18	9	11	13	10	12	1	3	6	8	7	5	
16	18	17	3	5	1	10	12	14	11	13	2	4	7	9	8	6	
17	1	18	4	6	2	11	13	15	12	14	3	5	8	10	9	7	
18	2	1	5	7	3	12	14	16	13	15	4	6	9	11	10	8	
