1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	
1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	7	2	2	2	2	2	
1	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	7	3	3	3	3	3	2	3	3	3	3	3	
2	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	2	4	4	4	4	4	8	4	4	4	4	4	
2	5	5	5	5	5	5	5	5	5	5	5	8	5	5	5	5	5	5	5	5	1	5	5	5	5	5	2	5	5	5	5	5	
2	6	6	6	6	6	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	8	6	6	6	6	6	1	6	6	6	6	6	
7	7	7	7	7	7	7	7	7	7	7	7	1	7	7	7	7	7	7	7	7	2	7	7	7	7	7	2	7	7	7	7	7	
8	8	8	8	8	8	8	8	8	8	8	8	2	8	8	8	8	8	8	8	8	1	8	8	8	8	8	1	8	8	8	8	8	
3	9	9	9	2	9	9	9	3	9	9	9	7	9	9	4	9	9	5	9	9	4	9	9	6	9	9	3	9	9	7	9	9	
3	10	10	10	3	10	10	10	4	10	10	10	3	10	10	5	10	10	6	10	10	3	10	10	7	10	10	7	10	10	8	10	10	
3	11	11	11	4	11	11	11	5	11	11	11	4	11	11	6	11	11	7	11	11	7	11	11	8	11	11	4	11	11	1	11	11	
4	12	12	12	5	12	12	12	6	12	12	12	4	12	12	7	12	12	8	12	12	4	12	12	1	12	12	8	12	12	2	12	12	
4	13	13	13	6	13	13	13	7	13	13	13	8	13	13	8	13	13	1	13	13	3	13	13	2	13	13	4	13	13	3	13	13	
4	14	14	14	7	14	14	14	8	14	14	14	3	14	14	1	14	14	2	14	14	8	14	14	3	14	14	3	14	14	4	14	14	
7	15	15	15	8	15	15	15	1	15	15	15	3	15	15	2	15	15	3	15	15	4	15	15	4	15	15	4	15	15	5	15	15	
8	16	16	16	1	16	16	16	2	16	16	16	4	16	16	3	16	16	4	16	16	3	16	16	5	16	16	3	16	16	6	16	16	
5	17	17	17	3	17	17	17	5	17	17	17	7	17	17	7	17	17	2	17	17	6	17	17	4	17	17	5	17	17	6	17	17	
5	18	18	18	4	18	18	18	6	18	18	18	5	18	18	8	18	18	3	18	18	5	18	18	5	18	18	7	18	18	7	18	18	
5	19	19	19	5	19	19	19	7	19	19	19	6	19	19	1	19	19	4	19	19	7	19	19	6	19	19	6	19	19	8	19	19	
6	20	20	20	6	20	20	20	8	20	20	20	6	20	20	2	20	20	5	20	20	6	20	20	7	20	20	8	20	20	1	20	20	
6	21	21	21	7	21	21	21	1	21	21	21	8	21	21	3	21	21	6	21	21	5	21	21	8	21	21	6	21	21	2	21	21	
