1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	
1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	8	2	2	2	2	2	2	2	2	
1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	7	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	
2	4	4	4	4	4	4	4	4	4	4	4	1	4	4	4	4	4	4	4	4	4	4	8	4	4	4	4	4	4	4	4	1	4	4	4	4	4	4	4	4	
2	5	5	5	5	5	5	5	5	5	5	5	2	5	5	5	5	5	5	5	5	5	5	9	5	5	5	5	5	5	5	5	2	5	5	5	5	5	5	5	5	
2	6	6	6	6	6	6	6	6	6	6	6	3	6	6	6	6	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	9	6	6	6	6	6	6	6	6	
3	7	7	7	7	7	7	7	7	7	7	7	1	7	7	7	7	7	7	7	7	7	7	2	7	7	7	7	7	7	7	7	10	7	7	7	7	7	7	7	7	
3	8	8	8	8	8	8	8	8	8	8	8	2	8	8	8	8	8	8	8	8	8	8	10	8	8	8	8	8	8	8	8	1	8	8	8	8	8	8	8	8	
3	9	9	9	9	9	9	9	9	9	9	9	10	9	9	9	9	9	9	9	9	9	9	1	9	9	9	9	9	9	9	9	2	9	9	9	9	9	9	9	9	
10	10	10	10	10	10	10	10	10	10	10	10	3	10	10	10	10	10	10	10	10	10	10	2	10	10	10	10	10	10	10	10	2	10	10	10	10	10	10	10	10	
4	11	11	11	2	11	11	11	3	11	11	11	4	11	11	11	4	11	11	11	5	11	11	3	11	11	6	11	11	7	11	11	7	11	11	8	11	11	9	11	11	
4	12	12	12	3	12	12	12	4	12	12	12	5	12	12	12	5	12	12	12	6	12	12	4	12	12	7	12	12	8	12	12	8	12	12	9	12	12	10	12	12	
4	13	13	13	4	13	13	13	5	13	13	13	6	13	13	13	6	13	13	13	7	13	13	7	13	13	8	13	13	9	13	13	3	13	13	10	13	13	1	13	13	
5	14	14	14	5	14	14	14	6	14	14	14	4	14	14	14	7	14	14	14	8	14	14	8	14	14	9	14	14	10	14	14	3	14	14	1	14	14	2	14	14	
5	15	15	15	6	15	15	15	7	15	15	15	5	15	15	15	8	15	15	15	9	15	15	9	15	15	10	15	15	1	15	15	4	15	15	2	15	15	3	15	15	
5	16	16	16	7	16	16	16	8	16	16	16	6	16	16	16	9	16	16	16	10	16	16	3	16	16	1	16	16	2	16	16	9	16	16	3	16	16	4	16	16	
6	17	17	17	8	17	17	17	9	17	17	17	4	17	17	17	10	17	17	17	1	17	17	4	17	17	2	17	17	3	17	17	10	17	17	4	17	17	5	17	17	
6	18	18	18	9	18	18	18	10	18	18	18	5	18	18	18	1	18	18	18	2	18	18	10	18	18	3	18	18	4	18	18	3	18	18	5	18	18	6	18	18	
6	19	19	19	10	19	19	19	1	19	19	19	10	19	19	19	2	19	19	19	3	19	19	3	19	19	4	19	19	5	19	19	4	19	19	6	19	19	7	19	19	
10	20	20	20	1	20	20	20	2	20	20	20	6	20	20	20	3	20	20	20	4	20	20	4	20	20	5	20	20	6	20	20	4	20	20	7	20	20	8	20	20	
7	21	21	21	3	21	21	21	2	21	21	21	7	21	21	21	7	21	21	21	9	21	21	5	21	21	8	21	21	4	21	21	7	21	21	6	21	21	5	21	21	
7	22	22	22	4	22	22	22	3	22	22	22	8	22	22	22	8	22	22	22	10	22	22	6	22	22	9	22	22	5	22	22	8	22	22	7	22	22	6	22	22	
7	23	23	23	5	23	23	23	4	23	23	23	9	23	23	23	9	23	23	23	1	23	23	7	23	23	10	23	23	6	23	23	5	23	23	8	23	23	7	23	23	
8	24	24	24	6	24	24	24	5	24	24	24	7	24	24	24	10	24	24	24	2	24	24	8	24	24	1	24	24	7	24	24	5	24	24	9	24	24	8	24	24	
8	25	25	25	7	25	25	25	6	25	25	25	8	25	25	25	1	25	25	25	3	25	25	9	25	25	2	25	25	8	25	25	6	25	25	10	25	25	9	25	25	
8	26	26	26	8	26	26	26	7	26	26	26	9	26	26	26	2	26	26	26	4	26	26	5	26	26	3	26	26	9	26	26	9	26	26	1	26	26	10	26	26	
9	27	27	27	9	27	27	27	8	27	27	27	7	27	27	27	3	27	27	27	5	27	27	6	27	27	4	27	27	10	27	27	10	27	27	2	27	27	1	27	27	
9	28	28	28	10	28	28	28	9	28	28	28	8	28	28	28	4	28	28	28	6	28	28	10	28	28	5	28	28	1	28	28	5	28	28	3	28	28	2	28	28	
9	29	29	29	1	29	29	29	10	29	29	29	10	29	29	29	5	29	29	29	7	29	29	5	29	29	6	29	29	2	29	29	6	29	29	4	29	29	3	29	29	
10	30	30	30	2	30	30	30	1	30	30	30	9	30	30	30	6	30	30	30	8	30	30	6	30	30	7	30	30	3	30	30	6	30	30	5	30	30	4	30	30	
11	1	2	3	11	4	5	6	11	7	8	9	11	10	11	12	11	13	14	15	11	16	17	11	18	19	11	20	21	11	22	23	17	24	25	11	26	27	11	28	29	
11	2	3	4	12	5	6	7	12	8	9	10	12	11	12	13	12	14	15	16	12	17	18	12	19	20	12	21	22	12	23	24	18	25	26	12	27	28	12	29	30	
11	3	4	5	13	6	7	8	13	9	10	11	13	12	13	14	13	15	16	17	13	18	19	17	20	21	13	22	23	13	24	25	11	26	27	13	28	29	13	30	1	
12	4	5	6	14	7	8	9	14	10	11	12	11	13	14	15	14	16	17	18	14	19	20	18	21	22	14	23	24	14	25	26	11	27	28	14	29	30	14	1	2	
12	5	6	7	15	8	9	10	15	11	12	13	12	14	15	16	15	17	18	19	15	20	21	19	22	23	15	24	25	15	26	27	12	28	29	15	30	1	15	2	3	
12	6	7	8	16	9	10	11	16	12	13	14	13	15	16	17	16	18	19	20	16	21	22	11	23	24	16	25	26	16	27	28	19	29	30	16	1	2	16	3	4	
13	7	8	9	17	10	11	12	17	13	14	15	11	16	17	18	17	19	20	21	17	22	23	12	24	25	17	26	27	17	28	29	20	30	1	17	2	3	17	4	5	
13	8	9	10	18	11	12	13	18	14	15	16	12	17	18	19	18	20	21	22	18	23	24	20	25	26	18	27	28	18	29	30	11	1	2	18	3	4	18	5	6	
13	9	10	11	19	12	13	14	19	15	16	17	20	18	19	20	19	21	22	23	19	24	25	11	26	27	19	28	29	19	30	1	12	2	3	19	4	5	19	6	7	
20	10	11	12	20	13	14	15	20	16	17	18	13	19	20	21	20	22	23	24	20	25	26	12	27	28	20	29	30	20	1	2	12	3	4	20	5	6	20	7	8	
14	11	12	13	12	14	15	16	13	17	18	19	14	20	21	22	14	23	24	25	15	26	27	13	28	29	16	30	1	17	2	3	17	4	5	18	6	7	19	8	9	
14	12	13	14	13	15	16	17	14	18	19	20	15	21	22	23	15	24	25	26	16	27	28	14	29	30	17	1	2	18	3	4	18	5	6	19	7	8	20	9	10	
14	13	14	15	14	16	17	18	15	19	20	21	16	22	23	24	16	25	26	27	17	28	29	17	30	1	18	2	3	19	4	5	13	6	7	20	8	9	11	10	11	
15	14	15	16	15	17	18	19	16	20	21	22	14	23	24	25	17	26	27	28	18	29	30	18	1	2	19	3	4	20	5	6	13	7	8	11	9	10	12	11	12	
15	15	16	17	16	18	19	20	17	21	22	23	15	24	25	26	18	27	28	29	19	30	1	19	2	3	20	4	5	11	6	7	14	8	9	12	10	11	13	12	13	
15	16	17	18	17	19	20	21	18	22	23	24	16	25	26	27	19	28	29	30	20	1	2	13	3	4	11	5	6	12	7	8	19	9	10	13	11	12	14	13	14	
16	17	18	19	18	20	21	22	19	23	24	25	14	26	27	28	20	29	30	1	11	2	3	14	4	5	12	6	7	13	8	9	20	10	11	14	12	13	15	14	15	
16	18	19	20	19	21	22	23	20	24	25	26	15	27	28	29	11	30	1	2	12	3	4	20	5	6	13	7	8	14	9	10	13	11	12	15	13	14	16	15	16	
16	19	20	21	20	22	23	24	11	25	26	27	20	28	29	30	12	1	2	3	13	4	5	13	6	7	14	8	9	15	10	11	14	12	13	16	14	15	17	16	17	
20	20	21	22	11	23	24	25	12	26	27	28	16	29	30	1	13	2	3	4	14	5	6	14	7	8	15	9	10	16	11	12	14	13	14	17	15	16	18	17	18	
17	21	22	23	13	24	25	26	12	27	28	29	17	30	1	2	17	3	4	5	19	6	7	15	8	9	18	10	11	14	12	13	17	14	15	16	16	17	15	18	19	
17	22	23	24	14	25	26	27	13	28	29	30	18	1	2	3	18	4	5	6	20	7	8	16	9	10	19	11	12	15	13	14	18	15	16	17	17	18	16	19	20	
17	23	24	25	15	26	27	28	14	29	30	1	19	2	3	4	19	5	6	7	11	8	9	17	10	11	20	12	13	16	14	15	15	16	17	18	18	19	17	20	21	
18	24	25	26	16	27	28	29	15	30	1	2	17	3	4	5	20	6	7	8	12	9	10	18	11	12	11	13	14	17	15	16	15	17	18	19	19	20	18	21	22	
18	25	26	27	17	28	29	30	16	1	2	3	18	4	5	6	11	7	8	9	13	10	11	19	12	13	12	14	15	18	16	17	16	18	19	20	20	21	19	22	23	
18	26	27	28	18	29	30	1	17	2	3	4	19	5	6	7	12	8	9	10	14	11	12	15	13	14	13	15	16	19	17	18	19	19	20	11	21	22	20	23	24	
19	27	28	29	19	30	1	2	18	3	4	5	17	6	7	8	13	9	10	11	15	12	13	16	14	15	14	16	17	20	18	19	20	20	21	12	22	23	11	24	25	
19	28	29	30	20	1	2	3	19	4	5	6	18	7	8	9	14	10	11	12	16	13	14	20	15	16	15	17	18	11	19	20	15	21	22	13	23	24	12	25	26	
19	29	30	1	11	2	3	4	20	5	6	7	20	8	9	10	15	11	12	13	17	14	15	15	16	17	16	18	19	12	20	21	16	22	23	14	24	25	13	26	27	
20	30	1	2	12	3	4	5	11	6	7	8	19	9	10	11	16	12	13	14	18	15	16	16	17	18	17	19	20	13	21	22	16	23	24	15	25	26	14	27	28	
21	1	3	2	21	6	8	4	21	11	5	14	21	16	18	23	21	25	27	29	21	24	26	21	28	7	21	9	12	21	15	10	27	20	17	21	21	13	21	22	19	
21	2	4	3	22	7	9	5	22	12	6	15	22	17	19	24	22	26	28	30	22	25	27	22	29	8	22	10	13	22	16	11	28	21	18	22	22	14	22	23	20	
21	3	5	4	23	8	10	6	23	13	7	16	23	18	20	25	23	27	29	1	23	26	28	27	30	9	23	11	14	23	17	12	21	22	19	23	23	15	23	24	21	
22	4	6	5	24	9	11	7	24	14	8	17	21	19	21	26	24	28	30	2	24	27	29	28	1	10	24	12	15	24	18	13	21	23	20	24	24	16	24	25	22	
22	5	7	6	25	10	12	8	25	15	9	18	22	20	22	27	25	29	1	3	25	28	30	29	2	11	25	13	16	25	19	14	22	24	21	25	25	17	25	26	23	
22	6	8	7	26	11	13	9	26	16	10	19	23	21	23	28	26	30	2	4	26	29	1	21	3	12	26	14	17	26	20	15	29	25	22	26	26	18	26	27	24	
