2	8	1	5	12	6	13	1	11	14	10	3	9	9	4	
3	9	1	6	13	7	14	2	12	1	11	4	10	10	5	
4	10	1	7	14	8	1	9	13	2	12	5	1	11	6	
5	11	1	8	1	9	2	10	14	3	13	6	2	12	7	
6	12	2	9	2	10	3	1	1	4	14	7	11	13	8	
7	13	2	10	3	11	4	2	2	5	1	8	12	14	9	
8	14	2	11	4	12	5	11	3	6	2	9	1	1	10	
9	1	2	12	5	13	6	12	4	7	3	10	2	2	11	
10	2	3	13	6	14	7	1	5	8	4	11	13	3	12	
11	3	3	14	7	1	8	2	6	9	5	12	14	4	13	
12	4	3	1	8	2	9	13	7	10	6	13	1	5	14	
13	5	3	2	9	3	10	14	8	11	7	14	2	6	1	
14	6	13	3	10	4	11	1	9	12	8	1	1	7	2	
1	7	14	4	11	5	12	2	10	13	9	2	2	8	3	
3	10	4	8	2	11	5	3	4	9	6	14	9	7	12	
4	11	4	9	3	12	6	4	5	10	7	1	10	8	13	
5	12	4	10	4	13	7	9	6	11	8	2	3	9	14	
6	13	4	11	5	14	8	10	7	12	9	3	4	10	1	
7	14	5	12	6	1	9	3	8	13	10	4	11	11	2	
8	1	5	13	7	2	10	4	9	14	11	5	12	12	3	
9	2	5	14	8	3	11	11	10	1	12	6	3	13	4	
10	3	5	1	9	4	12	12	11	2	13	7	4	14	5	
11	4	6	2	10	5	13	3	12	3	14	8	13	1	6	
12	5	6	3	11	6	14	4	13	4	1	9	14	2	7	
13	6	6	4	12	7	1	13	14	5	2	10	3	3	8	
14	7	6	5	13	8	2	14	1	6	3	11	4	4	9	
1	8	13	6	14	9	3	3	2	7	4	12	3	5	10	
2	9	14	7	1	10	4	4	3	8	5	13	4	6	11	
4	9	7	10	5	2	11	5	8	6	14	12	9	3	7	
5	10	7	11	6	3	12	6	9	7	1	13	10	4	8	
6	11	7	12	7	4	13	9	10	8	2	14	5	5	9	
7	12	7	13	8	5	14	10	11	9	3	1	6	6	10	
8	13	8	14	9	6	1	5	12	10	4	2	11	7	11	
9	14	8	1	10	7	2	6	13	11	5	3	12	8	12	
10	1	8	2	11	8	3	11	14	12	6	4	5	9	13	
11	2	8	3	12	9	4	12	1	13	7	5	6	10	14	
12	3	9	4	13	10	5	5	2	14	8	6	13	11	1	
13	4	9	5	14	11	6	6	3	1	9	7	14	12	2	
14	5	9	6	1	12	7	13	4	2	10	8	5	13	3	
1	6	9	7	2	13	8	14	5	3	11	9	6	14	4	
2	7	13	8	3	14	9	5	6	4	12	10	5	1	5	
3	8	14	9	4	1	10	6	7	5	13	11	6	2	6	
5	6	10	14	11	12	9	7	2	8	3	7	9	10	6	
6	7	10	1	12	13	10	8	3	9	4	8	10	11	7	
7	8	10	2	13	14	11	9	4	10	5	9	7	12	8	
8	9	10	3	14	1	12	10	5	11	6	10	8	13	9	
9	10	11	4	1	2	13	7	6	12	7	11	11	14	10	
10	11	11	5	2	3	14	8	7	13	8	12	12	1	11	
11	12	11	6	3	4	1	11	8	14	9	13	7	2	12	
12	13	11	7	4	5	2	12	9	1	10	14	8	3	13	
13	14	12	8	5	6	3	7	10	2	11	1	13	4	14	
14	1	12	9	6	7	4	8	11	3	12	2	14	5	1	
1	2	12	10	7	8	5	13	12	4	13	3	7	6	2	
2	3	12	11	8	9	6	14	13	5	14	4	8	7	3	
3	4	13	12	9	10	7	7	14	6	1	5	7	8	4	
4	5	14	13	10	11	8	8	1	7	2	6	8	9	5	
