2	3	5	4	5	6	5	7	8	9	3	10	11	12	1	13	14	15	16	21	17	18	19	3	20	21	22	4	23	
3	4	21	5	6	7	5	8	9	10	4	11	12	13	4	14	15	16	17	3	18	19	20	5	21	22	23	3	1	
4	5	1	6	7	8	2	9	10	11	4	12	13	14	21	15	16	17	18	5	19	20	21	3	22	23	1	5	2	
5	6	4	7	8	9	2	10	11	12	2	13	14	15	5	16	17	18	19	22	20	21	22	5	23	1	2	2	3	
6	7	5	8	9	10	2	11	12	13	1	14	15	16	2	17	18	19	20	1	21	22	23	4	1	2	3	21	4	
7	8	2	9	10	11	21	12	13	14	5	15	16	17	2	18	19	20	21	3	22	23	1	3	2	3	4	2	5	
8	9	1	10	11	12	1	13	14	15	21	16	17	18	2	19	20	21	22	2	23	1	2	5	3	4	5	4	6	
9	10	5	11	12	13	1	14	15	16	2	17	18	19	22	20	21	22	23	3	1	2	3	2	4	5	6	1	7	
10	11	4	12	13	14	22	15	16	17	4	18	19	20	1	21	22	23	1	4	2	3	4	4	5	6	7	1	8	
11	12	2	13	14	15	4	16	17	18	3	19	20	21	23	22	23	1	2	2	3	4	5	4	6	7	8	3	9	
12	13	1	14	15	16	5	17	18	19	5	20	21	22	3	23	1	2	3	4	4	5	6	2	7	8	9	22	10	
13	14	22	15	16	17	3	18	19	20	5	21	22	23	5	1	2	3	4	5	5	6	7	4	8	9	10	4	11	
14	15	23	16	17	18	4	19	20	21	2	22	23	1	2	2	3	4	5	4	6	7	8	1	9	10	11	5	12	
15	16	1	17	18	19	3	20	21	22	2	23	1	2	1	3	4	5	6	1	7	8	9	21	10	11	12	3	13	
16	17	3	18	19	20	23	21	22	23	3	1	2	3	3	4	5	6	7	1	8	9	10	5	11	12	13	5	14	
17	18	4	19	20	21	4	22	23	1	1	2	3	4	3	5	6	7	8	3	9	10	11	22	12	13	14	4	15	
18	19	2	20	21	22	5	23	1	2	22	3	4	5	5	6	7	8	9	1	10	11	12	1	13	14	15	1	16	
19	20	4	21	22	23	1	1	2	3	3	4	5	6	4	7	8	9	10	5	11	12	13	1	14	15	16	23	17	
20	21	3	22	23	1	4	2	3	4	23	5	6	7	1	8	9	10	11	5	12	13	14	2	15	16	17	2	18	
21	22	2	23	1	2	3	3	4	5	1	6	7	8	4	9	10	11	12	23	13	14	15	2	16	17	18	5	19	
22	23	3	1	2	3	2	4	5	6	5	7	8	9	4	10	11	12	13	2	14	15	16	23	17	18	19	1	20	
23	1	3	2	3	4	1	5	6	7	1	8	9	10	5	11	12	13	14	4	15	16	17	3	18	19	20	3	21	
1	2	5	3	4	5	3	6	7	8	4	9	10	11	3	12	13	14	15	2	16	17	18	1	19	20	21	2	22	
3	5	10	7	9	11	10	13	15	17	8	19	21	23	6	2	4	6	8	21	10	12	14	8	16	18	20	9	22	
4	6	21	8	10	12	10	14	16	18	9	20	22	1	9	3	5	7	9	8	11	13	15	10	17	19	21	8	23	
5	7	6	9	11	13	7	15	17	19	9	21	23	2	21	4	6	8	10	10	12	14	16	8	18	20	22	10	1	
6	8	9	10	12	14	7	16	18	20	7	22	1	3	10	5	7	9	11	22	13	15	17	10	19	21	23	7	2	
7	9	10	11	13	15	7	17	19	21	6	23	2	4	7	6	8	10	12	6	14	16	18	9	20	22	1	21	3	
8	10	7	12	14	16	21	18	20	22	10	1	3	5	7	7	9	11	13	8	15	17	19	8	21	23	2	7	4	
9	11	6	13	15	17	6	19	21	23	21	2	4	6	7	8	10	12	14	7	16	18	20	10	22	1	3	9	5	
10	12	10	14	16	18	6	20	22	1	7	3	5	7	22	9	11	13	15	8	17	19	21	7	23	2	4	6	6	
11	13	9	15	17	19	22	21	23	2	9	4	6	8	6	10	12	14	16	9	18	20	22	9	1	3	5	6	7	
12	14	7	16	18	20	9	22	1	3	8	5	7	9	23	11	13	15	17	7	19	21	23	9	2	4	6	8	8	
13	15	6	17	19	21	10	23	2	4	10	6	8	10	8	12	14	16	18	9	20	22	1	7	3	5	7	22	9	
14	16	22	18	20	22	8	1	3	5	10	7	9	11	10	13	15	17	19	10	21	23	2	9	4	6	8	9	10	
15	17	23	19	21	23	9	2	4	6	7	8	10	12	7	14	16	18	20	9	22	1	3	6	5	7	9	10	11	
16	18	6	20	22	1	8	3	5	7	7	9	11	13	6	15	17	19	21	6	23	2	4	21	6	8	10	8	12	
17	19	8	21	23	2	23	4	6	8	8	10	12	14	8	16	18	20	22	6	1	3	5	10	7	9	11	10	13	
18	20	9	22	1	3	9	5	7	9	6	11	13	15	8	17	19	21	23	8	2	4	6	22	8	10	12	9	14	
19	21	7	23	2	4	10	6	8	10	22	12	14	16	10	18	20	22	1	6	3	5	7	6	9	11	13	6	15	
20	22	9	1	3	5	6	7	9	11	8	13	15	17	9	19	21	23	2	10	4	6	8	6	10	12	14	23	16	
21	23	8	2	4	6	9	8	10	12	23	14	16	18	6	20	22	1	3	10	5	7	9	7	11	13	15	7	17	
22	1	7	3	5	7	8	9	11	13	6	15	17	19	9	21	23	2	4	23	6	8	10	7	12	14	16	10	18	
23	2	8	4	6	8	7	10	12	14	10	16	18	20	9	22	1	3	5	7	7	9	11	23	13	15	17	6	19	
1	3	8	5	7	9	6	11	13	15	6	17	19	21	10	23	2	4	6	9	8	10	12	8	14	16	18	8	20	
2	4	10	6	8	10	8	12	14	16	9	18	20	22	8	1	3	5	7	7	9	11	13	6	15	17	19	7	21	
4	7	15	10	13	16	15	19	22	2	13	5	8	11	11	14	17	20	23	21	3	6	9	13	12	15	18	14	21	
5	8	21	11	14	17	15	20	23	3	14	6	9	12	14	15	18	21	1	13	4	7	10	15	13	16	19	13	22	
6	9	11	12	15	18	12	21	1	4	14	7	10	13	21	16	19	22	2	15	5	8	11	13	14	17	20	15	23	
7	10	14	13	16	19	12	22	2	5	12	8	11	14	15	17	20	23	3	22	6	9	12	15	15	18	21	12	1	
8	11	15	14	17	20	12	23	3	6	11	9	12	15	12	18	21	1	4	11	7	10	13	14	16	19	22	21	2	
9	12	12	15	18	21	21	1	4	7	15	10	13	16	12	19	22	2	5	13	8	11	14	13	17	20	23	12	3	
10	13	11	16	19	22	11	2	5	8	21	11	14	17	12	20	23	3	6	12	9	12	15	15	18	21	1	14	4	
11	14	15	17	20	23	11	3	6	9	12	12	15	18	22	21	1	4	7	13	10	13	16	12	19	22	2	11	5	
12	15	14	18	21	1	22	4	7	10	14	13	16	19	11	22	2	5	8	14	11	14	17	14	20	23	3	11	6	
13	16	12	19	22	2	14	5	8	11	13	14	17	20	23	23	3	6	9	12	12	15	18	14	21	1	4	13	7	
14	17	11	20	23	3	15	6	9	12	15	15	18	21	13	1	4	7	10	14	13	16	19	12	22	2	5	22	8	
15	18	22	21	1	4	13	7	10	13	15	16	19	22	15	2	5	8	11	15	14	17	20	14	23	3	6	14	9	
16	19	23	22	2	5	14	8	11	14	12	17	20	23	12	3	6	9	12	14	15	18	21	11	1	4	7	15	10	
17	20	11	23	3	6	13	9	12	15	12	18	21	1	11	4	7	10	13	11	16	19	22	21	2	5	8	13	11	
18	21	13	1	4	7	23	10	13	16	13	19	22	2	13	5	8	11	14	11	17	20	23	15	3	6	9	15	12	
19	22	14	2	5	8	14	11	14	17	11	20	23	3	13	6	9	12	15	13	18	21	1	22	4	7	10	14	13	
20	23	12	3	6	9	15	12	15	18	22	21	1	4	15	7	10	13	16	11	19	22	2	11	5	8	11	11	14	
21	1	14	4	7	10	11	13	16	19	13	22	2	5	14	8	11	14	17	15	20	23	3	11	6	9	12	23	15	
22	2	13	5	8	11	14	14	17	20	23	23	3	6	11	9	12	15	18	15	21	1	4	12	7	10	13	12	16	
23	3	12	6	9	12	13	15	18	21	11	1	4	7	14	10	13	16	19	23	22	2	5	12	8	11	14	15	17	
1	4	13	7	10	13	12	16	19	22	15	2	5	8	14	11	14	17	20	12	23	3	6	23	9	12	15	11	18	
2	5	13	8	11	14	11	17	20	23	11	3	6	9	15	12	15	18	21	14	1	4	7	13	10	13	16	13	19	
3	6	15	9	12	15	13	18	21	1	14	4	7	10	13	13	16	19	22	12	2	5	8	11	11	14	17	12	20	
5	9	20	13	17	21	20	2	6	10	18	14	18	22	16	3	7	11	15	21	19	23	4	18	8	12	16	19	20	
6	10	21	14	18	22	20	3	7	11	19	15	19	23	19	4	8	12	16	18	20	1	5	20	9	13	17	18	21	
7	11	16	15	19	23	17	4	8	12	19	16	20	1	21	5	9	13	17	20	21	2	6	18	10	14	18	20	22	
8	12	19	16	20	1	17	5	9	13	17	17	21	2	20	6	10	14	18	22	22	3	7	20	11	15	19	17	23	
9	13	20	17	21	2	17	6	10	14	16	18	22	3	17	7	11	15	19	16	23	4	8	19	12	16	20	21	1	
10	14	17	18	22	3	21	7	11	15	20	19	23	4	17	8	12	16	20	18	1	5	9	18	13	17	21	17	2	
11	15	16	19	23	4	16	8	12	16	21	20	1	5	17	9	13	17	21	17	2	6	10	20	14	18	22	19	3	
12	16	20	20	1	5	16	9	13	17	17	21	2	6	22	10	14	18	22	18	3	7	11	17	15	19	23	16	4	
13	17	19	21	2	6	22	10	14	18	19	22	3	7	16	11	15	19	23	19	4	8	12	19	16	20	1	16	5	
14	18	17	22	3	7	19	11	15	19	18	23	4	8	23	12	16	20	1	17	5	9	13	19	17	21	2	18	6	
15	19	16	23	4	8	20	12	16	20	20	1	5	9	18	13	17	21	2	19	6	10	14	17	18	22	3	22	7	
16	20	22	1	5	9	18	13	17	21	20	2	6	10	20	14	18	22	3	20	7	11	15	19	19	23	4	19	8	
17	21	23	2	6	10	19	14	18	22	17	3	7	11	17	15	19	23	4	19	8	12	16	16	20	1	5	20	9	
18	22	16	3	7	11	18	15	19	23	17	4	8	12	16	16	20	1	5	16	9	13	17	21	21	2	6	18	10	
19	23	18	4	8	12	23	16	20	1	18	5	9	13	18	17	21	2	6	16	10	14	18	20	22	3	7	20	11	
20	1	19	5	9	13	19	17	21	2	16	6	10	14	18	18	22	3	7	18	11	15	19	22	23	4	8	19	12	
21	2	17	6	10	14	20	18	22	3	22	7	11	15	20	19	23	4	8	16	12	16	20	16	1	5	9	16	13	
22	3	19	7	11	15	16	19	23	4	18	8	12	16	19	20	1	5	9	20	13	17	21	16	2	6	10	23	14	
23	4	18	8	12	16	19	20	1	5	23	9	13	17	16	21	2	6	10	20	14	18	22	17	3	7	11	17	15	
1	5	17	9	13	17	18	21	2	6	16	10	14	18	19	22	3	7	11	23	15	19	23	17	4	8	12	20	16	
2	6	18	10	14	18	17	22	3	7	20	11	15	19	19	23	4	8	12	17	16	20	1	23	5	9	13	16	17	
3	7	18	11	15	19	16	23	4	8	16	12	16	20	20	1	5	9	13	19	17	21	2	18	6	10	14	18	18	
4	8	20	12	16	20	18	1	5	9	19	13	17	21	18	2	6	10	14	17	18	22	3	16	7	11	15	17	19	
