2	3	1	4	5	6	7	2	8	9	10	11	3	12	13	14	15	7	16	17	18	19	5	20	21	22	23	6	24	25	26	27	29	28	29	
3	4	2	5	6	7	8	3	9	10	11	12	4	13	14	15	16	5	17	18	19	20	6	21	22	23	24	29	25	26	27	28	7	29	1	
4	5	3	6	7	8	9	4	10	11	12	13	7	14	15	16	17	6	18	19	20	21	29	22	23	24	25	1	26	27	28	29	2	1	2	
5	6	4	7	8	9	10	5	11	12	13	14	6	15	16	17	18	29	19	20	21	22	1	23	24	25	26	7	27	28	29	1	3	2	3	
6	7	5	8	9	10	11	7	12	13	14	15	29	16	17	18	19	1	20	21	22	23	2	24	25	26	27	3	28	29	1	2	4	3	4	
7	8	6	9	10	11	12	29	13	14	15	16	1	17	18	19	20	2	21	22	23	24	7	25	26	27	28	4	29	1	2	3	5	4	5	
8	9	29	10	11	12	13	1	14	15	16	17	2	18	19	20	21	3	22	23	24	25	4	26	27	28	29	5	1	2	3	4	6	5	6	
9	10	1	11	12	13	14	3	15	16	17	18	7	19	20	21	22	4	23	24	25	26	2	27	28	29	1	4	2	3	4	5	6	6	7	
10	11	2	12	13	14	15	4	16	17	18	19	6	20	21	22	23	1	24	25	26	27	7	28	29	1	2	5	3	4	5	6	1	7	8	
11	12	3	13	14	15	16	5	17	18	19	20	5	21	22	23	24	2	25	26	27	28	4	29	1	2	3	6	4	5	6	7	7	8	9	
12	13	4	14	15	16	17	7	18	19	20	21	1	22	23	24	25	3	26	27	28	29	5	1	2	3	4	2	5	6	7	8	2	9	10	
13	14	5	15	16	17	18	6	19	20	21	22	2	23	24	25	26	7	27	28	29	1	6	2	3	4	5	1	6	7	8	9	3	10	11	
14	15	6	16	17	18	19	1	20	21	22	23	3	24	25	26	27	5	28	29	1	2	3	3	4	5	6	7	7	8	9	10	4	11	12	
15	16	7	17	18	19	20	2	21	22	23	24	4	25	26	27	28	6	29	1	2	3	1	4	5	6	7	3	8	9	10	11	5	12	13	
16	17	1	18	19	20	21	4	22	23	24	25	5	26	27	28	29	3	1	2	3	4	6	5	6	7	8	7	9	10	11	12	5	13	14	
17	18	2	19	20	21	22	5	23	24	25	26	1	27	28	29	1	7	2	3	4	5	3	6	7	8	9	3	10	11	12	13	6	14	15	
18	19	3	20	21	22	23	7	24	25	26	27	2	28	29	1	2	5	3	4	5	6	1	7	8	9	10	4	11	12	13	14	1	15	16	
19	20	4	21	22	23	24	6	25	26	27	28	3	29	1	2	3	6	4	5	6	7	2	8	9	10	11	5	12	13	14	15	7	16	17	
20	21	5	22	23	24	25	1	26	27	28	29	4	1	2	3	4	4	5	6	7	8	7	9	10	11	12	6	13	14	15	16	2	17	18	
21	22	6	23	24	25	26	2	27	28	29	1	7	2	3	4	5	1	6	7	8	9	4	10	11	12	13	2	14	15	16	17	3	18	19	
22	23	7	24	25	26	27	3	28	29	1	2	6	3	4	5	6	2	7	8	9	10	5	11	12	13	14	1	15	16	17	18	4	19	20	
23	24	1	25	26	27	28	5	29	1	2	3	2	4	5	6	7	6	8	9	10	11	7	12	13	14	15	2	16	17	18	19	4	20	21	
24	25	2	26	27	28	29	7	1	2	3	4	3	5	6	7	8	4	9	10	11	12	4	13	14	15	16	1	17	18	19	20	5	21	22	
25	26	3	27	28	29	1	6	2	3	4	5	4	6	7	8	9	1	10	11	12	13	5	14	15	16	17	7	18	19	20	21	6	22	23	
26	27	4	28	29	1	2	1	3	4	5	6	7	7	8	9	10	2	11	12	13	14	6	15	16	17	18	3	19	20	21	22	1	23	24	
27	28	5	29	1	2	3	2	4	5	6	7	6	8	9	10	11	3	12	13	14	15	3	16	17	18	19	4	20	21	22	23	7	24	25	
