1	2	3	4	
2	3	4	5	
3	4	5	6	
4	5	6	7	
5	6	7	8	
6	7	8	9	
7	8	9	10	
8	9	10	11	
9	10	11	12	
10	11	12	13	
11	12	13	14	
12	13	14	15	
13	14	16	16	
14	15	15	1	
15	16	1	2	
16	1	2	3	
13	nuke	3	6	1	
1	3	5	7	
2	4	6	8	
3	5	7	9	
4	6	8	10	
5	7	9	11	
6	8	10	12	
7	9	11	13	
8	10	12	14	
9	11	13	15	
10	12	14	16	
11	13	16	1	
12	14	15	2	
13	15	1	3	
14	16	2	4	
15	1	3	5	
16	2	4	6	
10	13	nuke	3	1	
1	4	7	10	
2	5	8	11	
3	6	9	12	
4	7	10	13	
5	8	11	14	
6	9	12	15	
8	11	14	1	
9	12	16	2	
11	14	1	4	
12	15	2	5	
14	1	4	7	
15	2	5	8	
16	3	6	9	
7	10	13	nuke	1	
1	5	9	13	
2	6	10	14	
3	7	11	15	
4	8	12	16	
5	9	13	1	
6	10	14	2	
7	11	16	3	
8	12	15	4	
9	13	1	5	
10	14	2	6	
11	15	3	7	
12	16	4	8	
13	1	5	9	
14	2	6	10	
15	3	7	11	
16	4	8	12	
nuke	16	15	16	1	
