1	2	3	4	--	
2	3	4	5	--	
3	--	5	6	1	
4	5	6	7	--	
5	6	7	8	--	
6	7	--	9	1	
7	8	9	10	--	
8	9	10	11	--	
9	10	11	--	1	
10	11	12	12	--	
11	12	8	1	--	
12	4	1	2	--	
1	3	5	7	--	
2	--	6	8	2	
3	5	7	9	--	
4	6	--	10	2	
5	7	9	11	--	
6	8	10	--	2	
7	9	11	12	--	
8	10	12	1	--	
9	11	8	2	--	
10	12	1	3	--	
11	4	2	4	--	
12	1	3	5	--	
1	--	7	10	3	
2	5	--	11	3	
3	6	9	--	3	
4	7	10	12	--	
5	8	11	1	--	
6	9	12	2	--	
7	10	8	3	--	
8	11	1	4	--	
9	12	2	5	--	
10	4	3	6	--	
11	1	4	7	--	
12	2	5	8	--	
1	5	9	12	--	
2	6	10	1	--	
3	7	11	2	--	
4	8	12	3	--	
5	9	8	4	--	
6	10	1	5	--	
7	11	2	6	--	
8	12	3	7	--	
9	4	4	8	--	
10	1	5	9	--	
11	2	6	10	--	
12	3	7	11	--	
--	1	2	3	1	
--	2	4	6	2	
--	3	6	9	3	
