1	2	9	11	
2	3	10	12	
3	4	11	13	
4	5	12	14	
5	6	13	15	
6	7	14	16	
7	8	15	17	
8	9	16	18	
9	10	18	1	
10	11	17	2	
11	12	1	3	
12	13	2	4	
13	14	3	5	
14	15	4	6	
15	16	5	7	
16	17	6	8	
17	18	7	9	
18	1	8	10	
15	nuke	10	14	1	
1	3	12	15	
2	4	13	16	
3	5	14	17	
4	6	15	18	
5	7	16	1	
6	8	18	2	
7	9	17	3	
8	10	1	4	
9	11	2	5	
10	12	3	6	
11	13	4	7	
12	14	5	8	
13	15	6	9	
14	16	7	10	
15	17	8	11	
16	18	9	12	
17	1	10	13	
18	2	11	14	
5	8	nuke	4	1	
2	5	15	1	
3	6	16	2	
4	7	18	3	
6	9	1	5	
7	10	2	6	
8	11	3	7	
9	12	4	8	
10	13	5	9	
11	14	6	10	
12	15	7	11	
13	16	8	12	
14	17	9	13	
16	1	11	15	
17	2	12	16	
18	3	13	17	
1	4	14	nuke	1	
1	5	2	12	
2	6	3	13	
3	7	4	14	
4	8	5	15	
5	9	6	16	
6	10	7	17	
7	11	8	18	
8	12	9	1	
9	13	10	2	
10	14	11	3	
11	15	12	4	
12	16	13	5	
13	17	14	6	
14	18	15	7	
15	1	16	8	
16	2	18	9	
17	3	17	10	
18	4	1	11	
nuke	18	17	18	1	
