24	nuke	1	2	1	
1	2	3	4	
2	3	4	5	
3	4	5	6	
4	5	6	7	
5	6	7	8	
6	7	8	9	
7	8	9	10	
8	9	10	11	
9	10	11	12	
10	11	12	13	
11	12	13	14	
23	24	nuke	1	1	
12	13	14	15	
13	14	15	16	
14	15	16	17	
15	16	17	18	
16	17	18	19	
17	18	20	20	
18	19	19	21	
19	20	21	22	
20	21	22	23	
21	22	23	24	
25	1	2	3	
22	23	25	nuke	1	
1	3	5	7	
2	4	6	8	
3	5	7	9	
4	6	8	10	
5	7	9	11	
6	8	10	12	
7	9	11	13	
8	10	12	14	
9	11	13	15	
10	12	14	16	
11	13	15	17	
12	14	16	18	
13	15	17	19	
14	16	18	20	
15	17	20	21	
16	18	19	22	
17	19	21	23	
18	20	22	24	
19	21	23	25	
20	22	25	1	
21	23	24	2	
22	24	1	3	
23	25	2	4	
24	1	3	5	
25	2	4	6	
17	nuke	23	1	2	
1	4	7	10	
2	5	8	11	
3	6	9	12	
4	7	10	13	
5	8	11	14	
6	9	12	15	
7	10	13	16	
8	11	14	17	
9	12	15	18	
10	13	16	19	
12	15	18	21	
14	17	nuke	23	2	
13	16	20	22	
15	18	21	24	
16	19	22	25	
18	21	25	2	
19	22	24	3	
20	23	1	4	
21	24	2	5	
22	25	3	6	
23	1	4	7	
24	2	5	8	
25	3	6	9	
11	14	17	nuke	2	
1	5	9	13	
2	6	10	14	
3	7	11	15	
4	8	12	16	
5	9	13	17	
6	10	14	18	
7	11	15	19	
8	12	16	20	
9	13	17	21	
10	14	18	22	
11	15	20	23	
12	16	19	24	
13	17	21	25	
14	18	22	1	
15	19	23	2	
16	20	25	3	
17	21	24	4	
18	22	1	5	
19	23	2	6	
20	24	3	7	
21	25	4	8	
22	1	5	9	
23	2	6	10	
24	3	7	11	
25	4	8	12	
nuke	25	24	25	1	
nuke	20	19	20	2	
