1	2	3	4	--	6	3	
2	3	4	--	6	7	1	
3	4	--	6	7	8	1	
4	--	6	7	8	9	1	
5	6	7	8	9	10	--	
6	7	8	9	10	11	--	
7	8	9	10	11	12	--	
8	9	10	11	12	13	--	
9	10	11	12	13	14	--	
10	11	12	13	14	15	--	
11	12	13	14	15	16	--	
12	13	14	15	16	17	--	
13	14	15	16	17	18	--	
14	15	16	17	18	19	--	
15	16	17	18	19	20	--	
16	17	18	19	20	21	--	
17	18	19	20	21	22	--	
18	19	20	21	22	23	--	
19	20	21	22	23	24	--	
20	21	22	23	24	25	--	
21	22	23	24	25	1	--	
22	23	24	25	1	2	--	
23	24	25	1	2	3	--	
24	25	1	2	3	4	--	
25	1	2	3	4	--	1	
1	3	5	7	9	11	--	
2	4	6	8	--	12	3	
3	5	7	9	11	13	--	
4	6	8	--	12	14	2	
5	7	9	11	13	15	--	
6	8	--	12	14	16	2	
7	9	11	13	15	17	--	
8	--	12	14	16	18	2	
9	11	13	15	17	19	--	
10	12	14	16	18	20	--	
11	13	15	17	19	21	--	
12	14	16	18	20	22	--	
13	15	17	19	21	23	--	
14	16	18	20	22	24	--	
15	17	19	21	23	25	--	
16	18	20	22	24	1	--	
17	19	21	23	25	2	--	
18	20	22	24	1	3	--	
19	21	23	25	2	4	--	
20	22	24	1	3	5	--	
21	23	25	2	4	6	--	
22	24	1	3	5	7	--	
23	25	2	4	6	8	--	
24	1	3	5	7	9	--	
25	2	4	6	8	--	2	
1	4	7	10	13	16	--	
2	5	8	11	14	17	--	
3	6	9	12	15	18	--	
4	7	10	13	16	19	--	
5	8	11	14	17	20	--	
6	9	12	15	18	21	--	
7	10	13	16	19	22	--	
8	11	14	17	20	23	--	
9	12	15	18	21	24	--	
10	13	16	19	22	25	--	
11	14	17	20	23	1	--	
12	15	18	21	24	2	--	
13	16	19	22	25	3	--	
14	17	20	23	1	4	--	
15	18	21	24	2	5	--	
16	19	22	25	3	6	--	
17	20	23	1	4	7	--	
18	21	24	2	5	8	--	
19	22	25	3	6	9	--	
20	23	1	4	7	10	--	
21	24	2	5	8	11	--	
22	25	3	6	9	12	--	
23	1	4	7	10	13	--	
24	2	5	8	11	14	--	
25	3	6	9	12	15	--	
1	5	9	13	17	21	--	
2	6	10	14	18	22	--	
3	7	11	15	19	23	--	
4	8	12	16	20	24	--	
5	9	13	17	21	25	--	
6	10	14	18	22	1	--	
7	11	15	19	23	2	--	
8	12	16	20	24	3	--	
9	13	17	21	25	4	--	
10	14	18	22	1	5	--	
11	15	19	23	2	6	--	
12	16	20	24	3	7	--	
13	17	21	25	4	8	--	
14	18	22	1	5	9	--	
15	19	23	2	6	10	--	
16	20	24	3	7	11	--	
17	21	25	4	8	12	--	
18	22	1	5	9	13	--	
19	23	2	6	10	14	--	
20	24	3	7	11	15	--	
21	25	4	8	12	16	--	
22	1	5	9	13	17	--	
23	2	6	10	14	18	--	
24	3	7	11	15	19	--	
25	4	8	12	16	20	--	
--	5	5	5	5	5	3	
--	10	10	10	10	10	3	
