1	6	10	7	8	3	9	2	--	
2	7	5	8	9	4	6	3	--	
3	8	6	10	5	5	1	4	--	
4	9	7	9	1	6	2	5	--	
5	10	8	1	2	7	3	6	--	
6	1	9	2	3	10	4	10	--	
7	2	4	3	4	9	5	8	--	
8	3	1	4	10	8	10	9	--	
9	4	2	5	6	1	7	7	--	
10	5	3	6	7	2	8	1	--	
1	7	6	9	2	10	5	9	--	
2	8	7	1	3	9	10	--	1	
3	9	8	2	4	--	7	1	1	
4	10	9	3	10	1	8	2	--	
5	1	4	4	6	2	9	3	--	
6	2	1	5	7	3	--	4	1	
7	3	2	6	8	4	1	5	--	
8	4	3	7	9	5	2	6	--	
9	5	10	8	--	6	3	10	1	
10	6	5	10	1	7	4	8	--	
1	8	5	3	6	8	2	10	--	
2	9	6	4	7	1	3	8	--	
3	--	7	5	8	2	4	9	2	
4	1	8	6	9	3	5	7	--	
5	2	9	7	5	4	10	1	--	
6	3	--	8	1	5	7	2	2	
7	4	1	10	2	6	8	3	--	
8	5	2	--	3	7	9	4	2	
9	6	3	1	4	10	6	5	--	
10	7	10	2	10	9	1	6	--	
1	9	4	5	3	4	8	6	--	
2	10	1	6	4	5	9	10	--	
3	1	2	7	10	6	6	8	--	
4	2	3	8	6	7	1	9	--	
5	3	10	10	7	10	2	7	--	
6	4	5	9	8	9	3	1	--	
7	5	6	1	9	8	4	2	--	
8	6	7	2	5	1	5	3	--	
9	7	8	3	1	2	10	4	--	
10	8	9	4	2	3	7	5	--	
--	10	4	9	5	8	6	7	2	
