1	2	3	4	5	6	7	8	--	
2	3	4	5	6	7	8	9	--	
3	4	5	6	7	8	9	10	--	
4	5	6	7	8	9	10	11	--	
5	6	7	8	9	10	11	12	--	
6	7	8	9	10	11	12	13	--	
7	8	9	10	11	12	13	14	--	
8	9	10	11	12	13	18	18	--	
9	10	11	12	18	14	15	16	--	
10	11	18	13	14	15	16	17	--	
11	12	13	14	15	18	17	15	--	
12	13	14	15	16	17	14	19	--	
13	14	15	16	17	16	23	23	--	
14	15	16	18	23	19	20	21	--	
15	16	23	17	19	20	21	22	--	
16	17	12	19	20	23	22	--	3	
17	18	19	20	21	22	--	1	3	
18	19	20	21	22	--	1	2	3	
19	20	21	23	--	1	2	3	3	
20	21	22	22	1	2	3	4	--	
21	22	17	1	2	3	4	5	--	
22	23	1	2	3	4	5	6	--	
23	1	2	3	4	5	6	7	--	
1	3	5	7	9	11	13	18	--	
2	4	6	8	10	12	18	16	--	
3	5	7	9	11	13	15	17	--	
4	6	8	10	12	14	16	--	4	
5	7	9	11	18	15	17	19	--	
6	8	10	12	14	18	--	23	4	
7	9	11	13	15	17	23	21	--	
8	10	18	14	16	--	20	22	4	
9	11	13	15	17	19	21	20	--	
10	12	14	16	--	20	22	1	4	
11	13	15	18	19	23	19	2	--	
12	14	16	17	20	22	1	3	--	
13	15	23	19	21	21	2	4	--	
14	16	12	20	22	1	3	5	--	
15	17	19	21	13	2	4	6	--	
16	18	20	23	1	3	5	7	--	
17	19	21	22	2	4	6	8	--	
18	20	22	1	3	5	7	9	--	
19	21	17	2	4	6	8	10	--	
20	22	1	3	5	7	9	11	--	
21	23	2	4	6	8	10	12	--	
22	1	3	5	7	9	11	13	--	
23	2	4	6	8	10	12	14	--	
1	4	7	10	18	18	23	22	--	
2	5	8	11	14	17	20	20	--	
3	6	9	12	15	16	21	1	--	
4	7	10	13	16	19	22	2	--	
5	8	11	14	17	20	19	3	--	
6	9	18	15	23	23	1	4	--	
7	10	13	16	19	22	2	5	--	
8	11	14	18	20	21	3	6	--	
9	12	15	17	21	1	4	7	--	
10	13	16	19	22	2	5	8	--	
11	14	23	20	13	3	6	9	--	
12	15	12	21	1	4	7	10	--	
13	16	19	23	2	5	8	11	--	
14	17	20	--	3	6	9	12	1	
15	18	21	1	4	7	10	13	--	
16	19	22	2	5	8	11	14	--	
17	20	--	3	6	9	12	18	1	
18	21	1	4	7	10	13	16	--	
19	22	2	5	8	11	18	17	--	
20	--	3	6	9	12	15	15	1	
21	1	4	7	10	13	16	19	--	
22	2	5	8	11	14	17	23	--	
23	3	6	9	12	15	14	21	--	
1	5	9	13	17	23	2	6	--	
2	6	10	14	23	22	3	7	--	
3	7	11	15	19	21	4	8	--	
4	8	18	16	20	1	5	9	--	
5	9	13	18	21	2	6	10	--	
6	10	14	--	22	3	7	11	2	
7	11	15	19	13	4	8	12	--	
8	12	16	20	1	5	9	13	--	
9	13	23	21	2	6	10	14	--	
10	14	--	23	3	7	11	18	2	
11	15	19	22	4	8	12	16	--	
12	16	20	1	5	9	13	17	--	
13	17	21	2	6	10	18	15	--	
14	--	22	3	7	11	15	19	2	
15	19	17	4	8	12	16	23	--	
16	20	1	5	9	13	17	21	--	
17	21	2	6	10	14	14	22	--	
18	22	3	7	11	15	23	20	--	
19	23	4	8	12	18	20	1	--	
20	1	5	9	18	17	21	2	--	
21	2	6	10	14	16	22	3	--	
22	3	7	11	15	19	19	4	--	
23	4	8	12	16	20	1	5	--	
--	23	17	22	13	21	19	20	1	
--	18	12	17	23	16	14	15	2	
