1	2	5	7	9	10	14	13	
2	3	6	8	10	11	15	14	
3	4	7	9	11	12	16	15	
4	5	8	10	12	13	17	16	
5	6	9	11	13	14	18	17	
6	7	10	12	14	15	19	18	
7	8	11	13	15	16	24	19	
8	9	12	14	16	17	21	20	
9	10	13	15	17	18	22	24	
10	11	14	16	18	19	23	22	
11	12	15	17	24	20	20	23	
12	13	16	18	20	21	1	21	
13	14	17	19	21	24	2	1	
14	15	24	20	22	23	3	2	
15	16	19	21	23	22	4	3	
16	17	20	22	19	1	5	4	
17	18	21	24	1	2	6	5	
18	19	22	23	2	3	7	6	
19	20	23	1	3	4	8	7	
20	21	18	2	4	5	9	8	
21	22	1	3	5	6	10	9	
22	23	2	4	6	7	11	10	
23	24	3	5	7	8	12	11	
24	1	4	6	8	9	13	12	
1	3	9	13	16	18	23	nuke	1	
2	4	10	14	17	19	nuke	1	1	
3	5	11	15	18	20	1	2	
4	6	12	16	24	21	2	3	
5	7	13	17	20	24	3	4	
6	8	14	18	21	23	4	5	
7	9	15	19	22	nuke	5	6	1	
8	10	16	20	23	1	6	7	
9	11	17	21	nuke	2	7	8	1	
10	12	24	22	1	3	8	9	
11	13	19	24	2	4	9	10	
12	14	20	23	3	5	10	11	
13	15	21	1	4	6	11	12	
14	16	22	2	5	7	12	13	
15	17	23	3	6	8	13	14	
16	18	18	4	7	9	14	15	
17	19	1	5	8	10	15	16	
18	20	2	6	9	11	16	17	
19	21	3	7	10	12	17	18	
20	22	4	8	11	13	18	19	
21	23	5	9	12	14	19	20	
22	24	6	10	13	15	24	24	
23	1	7	11	14	16	21	22	
24	2	8	12	15	17	22	23	
1	4	12	17	13	23	5	10	
2	5	13	18	14	22	6	11	
3	6	14	19	15	1	7	12	
4	7	15	20	16	2	8	13	
5	8	16	21	17	3	9	14	
6	9	17	22	18	4	10	15	
7	10	24	24	24	5	11	16	
8	11	19	nuke	20	6	12	17	2	
9	12	20	1	21	7	13	18	
10	13	21	2	22	8	14	19	
11	14	22	3	23	9	15	20	
12	15	23	4	19	10	16	24	
13	16	nuke	5	1	11	17	22	2	
14	17	1	6	2	12	18	23	
15	18	2	7	3	13	19	21	
16	19	3	8	4	14	24	1	
17	20	4	9	5	15	21	2	
18	21	5	10	6	16	22	3	
19	22	6	11	7	17	23	4	
20	23	7	12	8	18	20	5	
21	nuke	8	13	9	19	1	6	2	
22	1	9	14	10	20	2	7	
23	2	10	15	11	21	3	8	
24	3	11	16	12	24	4	9	
1	5	14	20	6	9	10	24	
2	6	15	21	7	10	11	22	
3	7	16	22	8	11	12	23	
4	8	17	24	9	12	13	21	
5	9	24	23	10	13	14	1	
6	10	19	1	11	14	15	2	
7	11	20	2	12	15	16	3	
8	12	21	3	13	16	17	4	
9	13	22	4	14	17	18	5	
10	14	23	5	15	18	19	6	
11	15	18	6	16	19	24	7	
12	16	1	7	17	20	21	8	
13	17	2	8	18	21	22	9	
14	18	3	9	24	24	23	10	
15	19	4	10	20	23	20	11	
16	20	5	11	21	22	1	12	
17	21	6	12	22	1	2	13	
18	22	7	13	23	2	3	14	
19	23	8	14	19	3	4	15	
20	24	9	15	1	4	5	16	
21	1	10	16	2	5	6	17	
22	2	11	17	3	6	7	18	
23	3	12	18	4	7	8	19	
24	4	13	19	5	8	9	20	
nuke	24	18	23	19	22	20	21	2	
