1	2	3	4	5	6	7	8	9	10	11	12	13	14
2	3	4	5	6	7	8	9	10	11	12	13	14	1
5	6	5	2	9	2	7	10	5	8	9	14	9	2
6	7	6	3	10	3	8	11	6	9	10	1	10	3
1	3	1	6	1	10	11	10	7	12	7	1	3	12
2	2	2	7	2	11	12	11	8	13	8	14	4	13
5	7	13	6	3	6	3	6	11	13	1	10	14	10
6	6	14	7	4	7	4	7	12	12	2	11	13	11
11	12	7	2	7	10	5	4	11	9	11	8	4	4
12	13	8	3	8	11	6	5	12	8	12	9	3	5
13	14	3	14	7	2	9	12	8	6	2	2	10	1
14	1	4	1	8	3	10	13	7	7	1	3	9	14
3	4	7	8	3	4	9	8	5	14	7	13	11	5
4	5	8	9	4	5	10	9	6	1	8	12	12	4
3	5	13	4	1	8	5	12	13	11	9	3	1	11
4	4	14	5	2	9	6	13	14	10	10	2	2	10
13	1	1	8	9	8	3	4	10	1	13	9	2	13
14	14	2	9	10	9	4	5	9	14	14	8	1	12
11	13	5	14	5	4	11	7	14	7	13	10	12	3
12	12	6	1	6	5	12	6	13	6	14	11	11	2
9	10	9	6	13	7	7	11	1	14	13	3	5	4
10	11	10	7	14	6	8	10	2	1	14	2	6	5
1	6	9	8	11	11	1	2	11	11	3	2	7	3
2	7	10	9	12	10	2	3	12	10	4	3	8	2
9	4	3	9	8	12	13	2	13	2	5	14	14	6
10	5	4	8	7	13	14	3	14	3	6	1	13	7
7	2	5	6	10	14	9	13	13	1	12	4	7	8
8	3	6	7	9	1	10	12	14	14	11	5	8	9
3	8	8	10	9	9	11	11	11	2	6	6	6	1
4	9	7	11	10	8	12	10	12	3	5	7	5	14
5	8	11	12	7	14	12	14	1	12	4	13	2	9
6	9	12	13	8	1	11	1	2	13	3	12	1	8
5	9	14	4	11	4	10	4	3	4	14	6	3	6
6	8	13	5	12	5	9	5	4	5	13	7	4	7
3	14	9	12	14	12	14	7	10	4	1	4	4	2
4	1	10	13	13	13	13	6	9	5	2	5	3	3
7	8	1	11	5	7	1	3	3	6	1	14	1	5
8	9	2	10	6	6	2	2	4	7	2	1	2	4
7	12	2	12	11	2	8	1	7	10	6	9	12	11
8	13	1	13	12	3	7	14	8	11	5	8	11	10
1	10	4	14	3	5	13	14	3	9	9	9	6	8
2	11	3	1	4	4	14	1	4	8	10	8	5	9
7	14	13	1	13	1	6	2	5	9	4	6	13	13
8	1	14	14	14	14	5	3	6	8	3	7	14	12
13	6	11	13	1	9	2	8	6	4	12	10	5	7
14	7	12	12	2	8	1	9	5	5	11	11	6	6
9	11	11	2	2	3	4	6	3	3	3	4	12	1
10	10	12	3	1	2	3	7	4	2	4	5	11	14
11	10	8	11	14	13	4	12	7	13	10	13	7	6
12	11	7	10	13	12	3	13	8	12	9	12	8	7
11	4	6	4	4	11	2	14	2	5	6	4	9	12
12	5	5	5	3	10	1	1	1	4	5	5	10	13
9	2	12	10	11	13	5	5	10	6	7	10	9	9
10	3	11	11	12	12	6	4	9	7	8	11	10	8
13	12	9	3	5	14	13	9	2	3	7	6	8	10
14	13	10	2	6	1	14	8	1	2	8	7	7	11
