2	5	7	11	8	21	10	19	14	18	1	21	12	6	1	3	15	9	1	19	13	17	13	1	8
3	6	8	12	9	1	11	20	15	19	21	1	13	7	2	4	16	10	2	20	14	18	14	2	9
4	7	9	13	10	2	12	21	16	20	2	2	14	8	17	5	17	11	3	21	15	19	15	3	10
5	8	10	14	11	3	13	1	17	21	3	3	15	9	18	6	18	12	4	1	16	20	16	4	11
14	17	19	2	20	1	1	10	5	9	4	12	3	18	4	15	6	21	1	10	4	8	4	19	20
1	4	6	10	7	5	9	18	13	17	5	20	11	5	3	2	14	8	3	18	12	16	12	2	7
6	9	11	15	12	1	14	2	18	1	1	4	16	10	19	7	19	13	3	2	17	21	17	4	12
13	16	18	1	19	5	21	9	4	8	4	11	2	17	20	14	5	20	2	9	3	7	3	3	19
18	21	2	6	3	2	5	14	9	13	5	16	7	1	21	19	10	4	4	14	8	12	8	1	3
7	10	12	16	13	2	15	3	19	2	3	5	17	11	3	8	20	14	1	3	18	1	18	17	13
8	11	13	17	14	3	16	4	20	3	2	6	18	12	4	9	21	15	2	4	19	2	19	1	14
9	12	14	18	15	4	17	5	21	4	4	7	19	13	1	10	1	16	4	5	20	3	20	2	15
10	13	15	19	16	1	18	6	1	5	2	8	20	14	3	11	2	17	4	6	21	4	21	18	16
11	14	16	20	17	2	19	7	2	6	1	9	21	15	4	12	3	18	17	7	1	5	1	2	17
12	15	17	21	18	4	20	8	3	7	5	10	1	16	2	13	4	19	1	8	2	6	2	4	18
15	18	20	3	21	3	2	11	6	10	5	13	4	19	1	16	7	1	18	11	5	9	5	3	21
16	19	21	4	1	4	3	12	7	11	1	14	5	20	3	17	8	2	2	12	6	10	6	20	1
17	20	1	5	2	5	4	13	8	12	3	15	6	21	2	18	9	3	19	13	7	11	7	1	2
19	1	3	7	4	3	6	15	10	14	4	17	8	2	2	20	11	5	3	15	9	13	9	21	4
20	2	4	8	5	4	7	16	11	15	3	18	9	3	4	21	12	6	20	16	10	14	10	3	5
21	3	5	9	6	5	8	17	12	16	2	19	10	4	1	1	13	7	21	17	11	15	11	4	6
3	9	13	18	16	21	19	8	4	12	6	17	10	5	5	6	7	2	5	14	18	14	15	5	20
4	10	14	19	17	6	20	9	5	13	21	18	11	6	6	7	8	3	6	15	19	15	16	6	21
5	11	15	20	18	7	21	10	6	14	7	19	12	7	17	8	9	4	7	16	20	16	17	7	1
6	12	16	21	19	8	1	11	7	15	8	20	13	8	18	9	10	5	8	17	21	17	18	8	2
15	21	4	9	7	6	10	20	16	3	9	8	1	17	8	18	19	14	5	5	9	5	6	19	11
2	8	12	17	15	10	18	7	3	11	10	16	9	4	7	5	6	1	7	13	17	13	14	6	19
7	13	17	1	20	6	2	12	8	16	6	21	14	9	19	10	11	6	7	18	1	18	19	8	3
14	20	3	8	6	10	9	19	15	2	9	7	21	16	20	17	18	13	6	4	8	4	5	7	10
19	4	8	13	11	7	14	3	20	7	10	12	5	21	21	1	2	18	8	9	13	9	10	5	15
8	14	18	2	21	7	3	13	9	17	8	1	15	10	7	11	12	7	5	19	2	19	20	17	4
9	15	19	3	1	8	4	14	10	18	7	2	16	11	8	12	13	8	6	20	3	20	21	5	5
10	16	20	4	2	9	5	15	11	19	9	3	17	12	5	13	14	9	8	21	4	21	1	6	6
11	17	21	5	3	6	6	16	12	20	7	4	18	13	7	14	15	10	8	1	5	1	2	18	7
12	18	1	6	4	7	7	17	13	21	6	5	19	14	8	15	16	11	17	2	6	2	3	6	8
13	19	2	7	5	9	8	18	14	1	10	6	20	15	6	16	17	12	5	3	7	3	4	8	9
16	1	5	10	8	8	11	21	17	4	10	9	2	18	5	19	20	15	18	6	10	6	7	7	12
17	2	6	11	9	9	12	1	18	5	6	10	3	19	7	20	21	16	6	7	11	7	8	20	13
18	3	7	12	10	10	13	2	19	6	8	11	4	20	6	21	1	17	19	8	12	8	9	5	14
20	5	9	14	12	8	15	4	21	8	9	13	6	1	6	2	3	19	7	10	14	10	11	21	16
21	6	10	15	13	9	16	5	1	9	8	14	7	2	8	3	4	20	20	11	15	11	12	7	17
1	7	11	16	14	10	17	6	2	10	7	15	8	3	5	4	5	21	21	12	16	12	13	8	18
4	12	17	2	3	21	7	18	10	5	11	13	21	20	9	8	19	15	9	9	16	11	14	9	6
5	13	18	3	4	11	8	19	11	6	21	14	1	21	10	9	20	16	10	10	17	12	15	10	7
6	14	19	4	5	12	9	20	12	7	12	15	2	1	17	10	21	17	11	11	18	13	16	11	8
7	15	20	5	6	13	10	21	13	8	13	16	3	2	18	11	1	18	12	12	19	14	17	12	9
16	3	8	14	15	11	19	9	1	17	14	4	12	11	12	20	10	6	9	21	7	2	5	19	18
3	11	16	1	2	15	6	17	9	4	15	12	20	19	11	7	18	14	11	8	15	10	13	10	5
8	16	21	6	7	11	11	1	14	9	11	17	4	3	19	12	2	19	11	13	20	15	18	12	10
15	2	7	13	14	15	18	8	21	16	14	3	11	10	20	19	9	5	10	20	6	1	4	11	17
20	7	12	18	19	12	2	13	5	21	15	8	16	15	21	3	14	10	12	4	11	6	9	9	1
9	17	1	7	8	12	12	2	15	10	13	18	5	4	11	13	3	20	9	14	21	16	19	17	11
10	18	2	8	9	13	13	3	16	11	12	19	6	5	12	14	4	21	10	15	1	17	20	9	12
11	19	3	9	10	14	14	4	17	12	14	20	7	6	9	15	5	1	12	16	2	18	21	10	13
12	20	4	10	11	11	15	5	18	13	12	21	8	7	11	16	6	2	12	17	3	19	1	18	14
13	21	5	11	12	12	16	6	19	14	11	1	9	8	12	17	7	3	17	18	4	20	2	10	15
14	1	6	12	13	14	17	7	20	15	15	2	10	9	10	18	8	4	9	19	5	21	3	12	16
17	4	9	15	16	13	20	10	2	18	15	5	13	12	9	21	11	7	18	1	8	3	6	11	19
18	5	10	16	17	14	21	11	3	19	11	6	14	13	11	1	12	8	10	2	9	4	7	20	20
19	6	11	17	18	15	1	12	4	20	13	7	15	14	10	2	13	9	19	3	10	5	8	9	21
21	8	13	19	20	13	3	14	6	1	14	9	17	16	10	4	15	11	11	5	12	7	10	21	2
1	9	14	20	21	14	4	15	7	2	13	10	18	17	12	5	16	12	20	6	13	8	11	11	3
2	10	15	21	1	15	5	16	8	3	12	11	19	18	9	6	17	13	21	7	14	9	12	12	4
5	15	2	10	17	21	14	13	12	3	16	7	9	19	13	4	11	20	13	21	6	8	18	13	16
6	16	3	11	18	16	15	14	13	4	21	8	10	20	14	5	12	21	14	1	7	9	19	14	17
7	17	4	12	19	17	16	15	14	5	17	9	11	21	17	6	13	1	15	2	8	10	20	15	18
8	18	5	13	20	18	17	16	15	6	18	10	12	1	18	7	14	2	16	3	9	11	21	16	19
17	6	14	1	8	16	5	4	3	15	19	19	21	10	16	16	2	11	13	12	18	20	9	19	7
4	14	1	9	16	20	13	12	11	2	20	6	8	18	15	3	10	19	15	20	5	7	17	14	15
9	19	6	14	21	16	18	17	16	7	16	11	13	2	19	8	15	3	15	4	10	12	1	16	20
16	5	13	21	7	20	4	3	2	14	19	18	20	9	20	15	1	10	14	11	17	19	8	15	6
21	10	18	5	12	17	9	8	7	19	20	2	4	14	21	20	6	15	16	16	1	3	13	13	11
10	20	7	15	1	17	19	18	17	8	18	12	14	3	15	9	16	4	13	5	11	13	2	17	21
11	21	8	16	2	18	20	19	18	9	17	13	15	4	16	10	17	5	14	6	12	14	3	13	1
12	1	9	17	3	19	21	20	19	10	19	14	16	5	13	11	18	6	16	7	13	15	4	14	2
13	2	10	18	4	16	1	21	20	11	17	15	17	6	15	12	19	7	16	8	14	16	5	18	3
14	3	11	19	5	17	2	1	21	12	16	16	18	7	16	13	20	8	17	9	15	17	6	14	4
15	4	12	20	6	19	3	2	1	13	20	17	19	8	14	14	21	9	13	10	16	18	7	16	5
18	7	15	2	9	18	6	5	4	16	20	20	1	11	13	17	3	12	18	13	19	21	10	15	8
19	8	16	3	10	19	7	6	5	17	16	21	2	12	15	18	4	13	14	14	20	1	11	20	9
20	9	17	4	11	20	8	7	6	18	18	1	3	13	14	19	5	14	19	15	21	2	12	13	10
1	11	19	6	13	18	10	9	8	20	19	3	5	15	14	21	7	16	15	17	2	4	14	21	12
2	12	20	7	14	19	11	10	9	21	18	4	6	16	16	1	8	17	20	18	3	5	15	15	13
3	13	21	8	15	20	12	11	10	1	17	5	7	17	13	2	9	18	21	19	4	6	16	16	14
